Index,Product Name,Product Category
1,Cookware,Kitchenery
2,Photo Frames,Decoratives
3,Table Lamps,Lighting
4,Serveware,Kitchenery
5,Bathroom Furniture,Furniture
6,Computers,Electronics
7,Dinnerware,Kitchenery
8,Cocktail Glasses,Drinkware
9,Baseball,Sports
10,Blankets,Beddings
11,Ornaments,Decoratives
12,Dining Furniture,Furniture
13,Bakeware,Kitchenery
14,Mirrors,Accessories
15,Outdoor Furniture,Furniture
16,Stemware,Drinkware
17,Furniture Cushions,Furniture
18,Basketball,Sports
19,Vanities,Collections
20,Bar Tools,Drinkware
21,Floral,Decoratives
22,Wine Storage,Drinkware
23,Accessories,Accessories
24,Wall Frames,Decoratives
25,TV and video,Electronics
26,Candles,Lighting
27,Wreaths,Decoratives
28,Phones,Electronics
29,Pendants,Collections
30,Wall Coverings,Decoratives
31,Candleholders,Decoratives
32,Vases,Decoratives
33,Outdoor Decor,Decoratives
34,Bedroom Furniture,Furniture
35,Table Linens,Decoratives
36,Clocks,Accessories
37,Platters,Kitchenery
38,Wardrobes,Furniture
39,Floor Lamps,Lighting
40,Rugs,Decoratives
41,Collectibles,Collections
42,Bean Bags,Furniture
43,Festive,Decoratives
44,Pillows,Beddings
45,Home Fragrances,Decoratives
46,Sculptures,Decoratives
47,Audio,Electronics
